src,dst,PktsGen,AvgBw,AvgDelay,jitter,loss
0,1,342.0,3.24,6.833,2.467,6.0
1,0,277.0,3.25,6.833,2.196,0.0
0,2,342.0,4.01,4.38,0.82,0.0
2,0,341.0,3.98,4.38,1.397,0.0
0,3,343.0,2.2,10.341,5.728,77.0
3,0,122.0,1.43,10.341,5.229,0.0
0,4,342.0,3.97,3.401,1.186,0.0
4,0,341.0,4.0,3.401,1.075,0.0
0,5,341.0,3.32,5.874,1.6,0.0
5,0,274.0,3.22,5.874,4.279,0.0
1,2,342.0,4.0,3.77,0.598,0.0
2,1,341.0,3.97,3.77,1.006,0.0
1,3,342.0,4.0,3.137,1.746,0.0
3,1,341.0,3.99,3.137,1.592,0.0
1,4,342.0,3.94,6.236,1.238,0.0
4,1,335.0,3.93,6.236,1.337,0.0
1,5,341.0,4.0,2.869,0.417,0.0
5,1,341.0,4.0,2.869,0.438,0.0
2,3,342.0,3.95,5.531,1.716,0.0
3,2,338.0,3.97,5.531,0.924,0.0
2,4,342.0,3.99,2.555,0.435,0.0
4,2,341.0,4.0,2.555,0.526,0.0
2,5,342.0,3.99,2.771,1.45,0.0
5,2,341.0,4.01,2.771,1.285,0.0
3,4,342.0,3.24,9.288,1.884,0.0
4,3,260.0,3.04,9.288,2.152,1.0
3,5,342.0,3.97,5.164,1.638,0.0
5,3,340.0,4.0,5.164,1.321,0.0
4,5,342.0,3.98,5.147,1.473,0.0
5,4,339.0,3.98,5.147,1.48,0.0
