src,dst,PktsGen,AvgBw,AvgDelay,jitter,loss
0,1,512.0,3270.0,35.113,0.938,18.0
1,0,166.0,1870.0,35.113,2.853,7.0
0,2,512.0,6500.0,4.173,0.736,5.0
2,0,512.0,6170.0,4.173,0.199,7.0
0,3,512.0,2650.0,8.756,0.925,90.0
3,0,254.0,2980.0,8.756,0.807,9.0
0,4,510.0,5850.0,2.808,1.427,0.0
4,0,503.0,5910.0,2.808,1.194,0.0
0,5,512.0,4350.0,5.854,0.748,0.0
5,0,312.0,3660.0,5.854,1.468,0.0
1,2,512.0,6490.0,4.373,0.603,3.0
2,1,512.0,6250.0,4.373,0.672,6.0
1,3,512.0,5980.0,2.882,0.878,0.0
3,1,508.0,5970.0,2.882,1.075,0.0
1,4,512.0,4740.0,9.647,0.744,0.0
4,1,340.0,3990.0,9.647,1.147,0.0
1,5,512.0,6010.0,2.805,0.188,0.0
5,1,511.0,6000.0,2.805,0.152,0.0
2,3,512.0,4350.0,5.585,0.75,1.0
3,2,289.0,3350.0,5.585,1.531,4.0
2,4,512.0,6000.0,2.85,0.175,0.0
4,2,511.0,5990.0,2.85,0.393,0.0
2,5,512.0,6240.0,5.893,0.978,5.0
5,2,512.0,6110.0,5.893,0.77,1.0
3,4,512.0,3560.0,7.032,0.753,0.0
4,3,201.0,2360.0,7.032,2.492,0.0
3,5,512.0,5630.0,4.161,0.608,0.0
5,3,466.0,5470.0,4.161,0.623,0.0
4,5,512.0,4180.0,4.286,0.889,0.0
5,4,247.0,2900.0,4.286,3.095,0.0
