src,dst,PktsGen,AvgBw,AvgDelay,jitter,loss
0,1,682.0,7770.0,4.942,0.159,0.0
1,0,650.0,7640.0,4.942,0.276,0.0
0,2,682.0,3680.0,7.818,0.118,0.0
2,0,152.0,1770.0,7.818,8.747,0.0
0,3,682.0,5560.0,4.433,0.272,0.0
3,0,404.0,4750.0,4.433,1.288,0.0
0,4,682.0,3740.0,7.068,0.259,86.0
4,0,208.0,2440.0,7.068,1.985,0.0
0,5,682.0,3560.0,8.18,0.275,0.0
5,0,159.0,1850.0,8.18,4.939,0.0
1,2,683.0,3990.0,5.856,5.261,155.0
2,1,210.0,2460.0,5.856,4.703,0.0
1,3,682.0,8010.0,3.142,0.083,0.0
3,1,681.0,7990.0,3.142,0.197,0.0
1,4,682.0,5920.0,4.926,0.334,0.0
4,1,435.0,5110.0,4.926,1.161,0.0
1,5,682.0,4490.0,5.527,0.239,0.0
5,1,261.0,3060.0,5.527,2.019,0.0
2,3,682.0,5810.0,4.089,0.263,0.0
3,2,438.0,5140.0,4.089,1.01,0.0
2,4,682.0,8010.0,3.611,0.161,0.0
4,2,681.0,8000.0,3.611,0.293,0.0
2,5,682.0,6070.0,4.127,0.258,0.0
5,2,459.0,5390.0,4.127,1.046,0.0
3,4,682.0,7870.0,2.901,0.677,0.0
4,3,682.0,8010.0,2.901,0.556,0.0
3,5,682.0,5540.0,4.824,0.258,2.0
5,3,449.0,5270.0,4.824,0.445,4.0
4,5,682.0,8010.0,2.808,0.361,0.0
5,4,680.0,7970.0,2.808,0.537,0.0
